Date,USD,EUR
2006-01-02,53.062,62.8785
2006-01-03,52.903,62.5737
2006-01-04,52.652,63.2508
2006-01-05,52.43,63.5871
2006-01-06,52.469,63.5137
2006-01-07,NA,NA
2006-01-08,NA,NA
2006-01-09,52.646,63.9702
2006-01-10,52.421,63.3717
2006-01-11,52.549,63.4214
2006-01-12,52.65,63.8539
2006-01-13,52.453,63.1482
2006-01-14,NA,NA
2006-01-15,NA,NA
2006-01-16,52.44,63.6359
2006-01-17,52.453,63.594
2006-01-18,52.615,63.7062
2006-01-19,52.772,63.8911
2006-01-20,52.823,63.9211
2006-01-21,NA,NA
2006-01-22,NA,NA
2006-01-23,52.867,64.1805
2006-01-24,52.867,65.0899
2006-01-25,52.747,64.768
2006-01-26,52.556,64.3706
2006-01-27,52.431,64.034
2006-01-28,NA,NA
2006-01-29,NA,NA
2006-01-30,52.435,63.4621
2006-01-31,52.336,63.269
2006-02-01,52.167,63.4142
2006-02-02,52.081,62.7836
2006-02-03,52.097,63.0374
2006-02-04,NA,NA
2006-02-05,NA,NA
2006-02-06,51.949,62.4739
2006-02-07,51.698,61.867
2006-02-08,51.673,61.9043
2006-02-09,51.759,61.9141
2006-02-10,51.856,62.1235
2006-02-11,NA,NA
2006-02-12,NA,NA
2006-02-13,51.499,61.2838
2006-02-14,51.555,61.3814
2006-02-15,51.568,61.4536
2006-02-16,51.55,61.2775
2006-02-17,51.639,61.4711
2006-02-18,NA,NA
2006-02-19,NA,NA
2006-02-20,51.777,61.8062
2006-02-21,51.908,61.9782
2006-02-22,51.959,61.8988
2006-02-23,51.734,61.6411
2006-02-24,51.77,61.7202
2006-02-25,NA,NA
2006-02-26,NA,NA
2006-02-27,52.009,61.7763
2006-02-28,52.088,61.7243
2006-03-01,51.725,61.6407
2006-03-02,51.43,61.284
2006-03-03,51.26,61.7324
2006-03-04,NA,NA
2006-03-05,NA,NA
2006-03-06,51.192,61.6403
2006-03-07,51.102,61.4246
2006-03-08,50.963,60.5797
2006-03-09,51.313,61.1959
2006-03-10,51.484,61.3483
2006-03-11,NA,NA
2006-03-12,NA,NA
2006-03-13,51.408,61.2578
